(220, 233, 220)
(218, 230, 218)
(213, 224, 213)
(222, 235, 224)
(222, 234, 223)
(215, 225, 215)
(215, 228, 219)
(216, 228, 220)
(209, 221, 214)
(220, 233, 221)
(218, 230, 219)
(213, 224, 214)
(222, 235, 224)
(222, 233, 223)
(215, 225, 215)
(215, 228, 219)
(216, 228, 220)
(209, 221, 214)
(220, 233, 221)
(218, 230, 219)
(213, 224, 213)
(222, 235, 224)
(222, 234, 223)
(216, 226, 216)
(215, 228, 219)
(216, 228, 220)
(209, 221, 215)
(220, 232, 220)
(218, 230, 218)
(212, 223, 213)
(222, 235, 223)
(222, 233, 222)
(214, 225, 214)
(215, 228, 219)
(216, 228, 219)
(209, 221, 214)
(220, 233, 220)
(218, 230, 218)
(213, 223, 213)
(222, 235, 223)
(222, 233, 222)
(215, 225, 214)
(215, 228, 219)
(216, 228, 219)
(209, 221, 214)
(220, 232, 220)
(218, 229, 217)
(212, 223, 212)
(222, 235, 223)
(222, 233, 222)
(214, 225, 213)
(215, 228, 218)
(216, 228, 219)
(209, 221, 213)
(219, 232, 221)
(218, 229, 218)
(212, 223, 213)
(222, 235, 224)
(222, 233, 223)
(214, 225, 214)
(215, 228, 219)
(216, 228, 220)
(209, 221, 214)
(219, 233, 220)
(218, 230, 218)
(212, 223, 212)
(222, 235, 223)
(221, 233, 223)
(215, 225, 215)
(215, 228, 219)
(216, 228, 219)
(208, 220, 214)
(219, 232, 220)
(218, 230, 217)
(212, 223, 213)
(222, 235, 223)
(221, 233, 222)
(215, 225, 215)
(215, 228, 218)
(215, 228, 219)
(208, 220, 213)
(220, 233, 220)
(218, 230, 217)
(212, 223, 213)
(222, 235, 223)
(222, 233, 222)
(215, 225, 214)
(215, 228, 219)
(216, 228, 219)
(209, 221, 214)
(219, 233, 220)
(218, 230, 218)
(212, 223, 212)
(222, 235, 223)
(222, 233, 222)
(215, 225, 214)
(215, 228, 218)
(216, 228, 219)
(209, 221, 214)
(219, 232, 223)
(217, 229, 220)
(212, 223, 215)
(222, 235, 226)
(222, 233, 225)
(215, 225, 217)
(214, 228, 221)
(215, 227, 222)
(208, 220, 216)
(224, 238, 228)
(223, 235, 225)
(218, 229, 221)
(227, 241, 232)
(226, 238, 231)
(220, 231, 222)
(219, 234, 226)
(220, 233, 227)
(212, 226, 221)
(224, 237, 228)
(223, 235, 225)
(218, 229, 221)
(227, 240, 231)
(226, 238, 230)
(220, 231, 222)
(220, 233, 226)
(220, 233, 227)
(212, 225, 221)
(224, 238, 228)
(223, 236, 225)
(218, 229, 221)
(227, 241, 231)
(226, 239, 230)
(220, 231, 223)
(219, 233, 226)
(220, 233, 227)
(212, 225, 220)
(224, 238, 228)
(223, 235, 225)
(218, 229, 221)
(227, 241, 232)
(226, 238, 231)
(220, 231, 223)
(219, 234, 226)
(220, 233, 226)
(212, 225, 221)
(224, 238, 227)
(223, 236, 225)
(218, 230, 221)
(227, 241, 232)
(226, 239, 231)
(220, 231, 223)
(219, 234, 226)
(220, 233, 227)
(212, 226, 221)
(224, 238, 228)
(223, 236, 225)
(218, 230, 221)
(227, 241, 232)
(227, 239, 231)
(220, 231, 223)
(220, 234, 226)
(220, 233, 227)
(212, 226, 221)
(228, 241, 228)
(225, 237, 224)
(219, 231, 218)
(230, 243, 231)
(228, 240, 228)
(221, 233, 220)
(219, 234, 223)
(220, 233, 223)
(214, 227, 218)
(228, 241, 228)
(225, 237, 224)
(220, 231, 219)
(230, 243, 231)
(228, 240, 228)
(222, 233, 220)
(219, 234, 223)
(220, 233, 224)
(214, 227, 218)
(228, 241, 228)
(225, 237, 224)
(220, 231, 219)
(230, 243, 231)
(228, 240, 229)
(222, 233, 221)
(219, 234, 223)
(220, 233, 224)
(215, 227, 219)
(228, 241, 228)
(225, 237, 224)
(220, 231, 219)
(230, 243, 231)
(228, 240, 229)
(222, 233, 221)
(219, 234, 224)
(220, 233, 224)
(215, 227, 218)
(228, 241, 228)
(225, 237, 224)
(220, 231, 219)
(229, 243, 231)
(228, 240, 228)
(222, 233, 220)
(219, 234, 223)
(220, 233, 224)
(214, 227, 219)
(228, 241, 228)
(225, 237, 224)
(220, 231, 219)
(230, 243, 231)
(228, 240, 228)
(221, 233, 221)
(220, 234, 223)
(220, 233, 223)
(215, 227, 219)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 254, 254)
(254, 255, 254)
(254, 255, 255)
(254, 255, 254)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(255, 255, 255)
(255, 255, 255)
(254, 255, 255)
(254, 255, 254)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 254, 254)
(254, 255, 254)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(255, 255, 255)
(255, 255, 255)
(254, 255, 255)
(254, 254, 254)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(255, 255, 255)
(254, 255, 254)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(255, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 255)
(254, 255, 254)
(254, 255, 255)
(231, 243, 230)
(230, 241, 228)
(227, 236, 223)
(231, 242, 229)
(232, 242, 229)
(225, 234, 220)
